,Teamname,Tournament,Username
249,Austin Sol,AUDL 2016,Wilder C
250,Austin Sol,AUDL 2017,Wilder C
251,Austin Sol,AUDL 2016,Wolfe J
252,Charlotte Express,AUDL 2015,Barry I
253,Charlotte Express,AUDL 2016,Bode M
254,Charlotte Express,AUDL 2015,Bostia A
255,Charlotte Express,AUDL 2015,Burns E
256,Charlotte Express,AUDL 2016,Cohen A
257,Charlotte Express,AUDL 2016,Colicc C
258,Charlotte Express,AUDL 2016,Cooper S
259,Charlotte Express,AUDL 2016,Fairfa J
260,Charlotte Express,AUDL 2015,Fontai S
261,Charlotte Express,AUDL 2015,Fox E
262,Charlotte Express,AUDL 2015,Gardne M
263,Charlotte Express,AUDL 2016,Gardne M
264,Charlotte Express,AUDL 2015,Gerber C
265,Charlotte Express,AUDL 2015,Glenn M
266,Charlotte Express,AUDL 2016,Goff N
267,Charlotte Express,AUDL 2015,Grunin A
268,Charlotte Express,AUDL 2016,Grunin A
269,Charlotte Express,AUDL 2015,Hood M
270,Charlotte Express,AUDL 2016,Hood M
271,Charlotte Express,AUDL 2015,Howey E
272,Charlotte Express,AUDL 2016,Howey E
273,Charlotte Express,AUDL 2015,Johnso C
274,Charlotte Express,AUDL 2015,Kelley S
275,Charlotte Express,AUDL 2016,Kelley S
276,Charlotte Express,AUDL 2015,Lee S
277,Charlotte Express,AUDL 2016,Lee S
278,Charlotte Express,AUDL 2015,Lieber J
279,Charlotte Express,AUDL 2016,Lieber J
280,Charlotte Express,AUDL 2015,McCall S
281,Charlotte Express,AUDL 2016,McSher C
282,Charlotte Express,AUDL 2016,Minch T
283,Charlotte Express,AUDL 2016,Mossma D
284,Charlotte Express,AUDL 2015,Muniz C
285,Charlotte Express,AUDL 2016,Muniz C
286,Charlotte Express,AUDL 2015,Nordeg J
287,Charlotte Express,AUDL 2016,Nordgr J
288,Charlotte Express,AUDL 2015,Olson E
289,Charlotte Express,AUDL 2016,Olson E
290,Charlotte Express,AUDL 2016,Polk J
291,Charlotte Express,AUDL 2015,Porter K
292,Charlotte Express,AUDL 2016,Porter K
293,Charlotte Express,AUDL 2015,Russel A
