Unnamed: 0,Teamname,Tournament,Username,PlayerName,Suggestion1,Suggestion2,Suggestion3,MatchScore
215,Austin Sol,AUDL 2016,Mosola L,Lucky Mosola,Lucky Mosola,Michael Hays,Joel Clutton,0.6
216,Austin Sol,AUDL 2017,Mosola L,Lucky Mosola,Lucky Mosola,Jason Best,Michael Hays,0.6
217,Austin Sol,AUDL 2018,Murphy,Sam Murphy,Sam Murphy,Aubrey Davis,,0.75
218,Austin Sol,AUDL 2018,N Whale,Nicholas Whale,Nicholas Whale,Mick Walter,Jerrod Wolfe,0.666666667
219,Austin Sol,AUDL 2018,Naji,Steven Naji,Steven Naji,Nash Mock,,0.533333333
220,Austin Sol,AUDL 2017,Naji S,Steven Naji,Steven Naji,Nathan Sany,Nash Mock,0.470588235
221,Austin Sol,AUDL 2018,Nash Moc,Nash Mock,Nash Mock,Ethan Pollack,Nicholas Whale,0.941176471
222,Austin Sol,AUDL 2016,Orloff R,Rory Orloff,Rory Orloff,Jerrod Wolfe,Jeff Loskorn,0.631578947
223,Austin Sol,AUDL 2017,Orloff R,Rory Orloff,Rory Orloff,Carlos Vargas,Jeff Loskorn,0.631578947
224,Austin Sol,AUDL 2018,P Starke,Paul Starkel,Paul Starkel,Kamron Daftari,Sam Murphy,0.8
