,Dallas Roughnecks,,Kurt,Gibson,Kurt Gibson,Kurt
4/1/17,Vancouver Riptide,Seattle Cascades,Ari,Nitikman,Ari Nitikman,Ari
4/1/17,Vancouver Riptide,Seattle Cascades,Alistair,Robb,Alistair Robb,Alistair
4/1/17,Vancouver Riptide,Seattle Cascades,Rumi,Tejpar,Rumi Tejpar,Rumi
4/1/17,Vancouver Riptide,Seattle Cascades,William,Vu,William Vu,Will Vu
4/1/17,Vancouver Riptide,Seattle Cascades,Brendan,Wong,Brendan Wong,Brendo
4/1/17,Vancouver Riptide,Seattle Cascades,Peter,Yu,Peter Yu,Petey
4/2/17,Indianapolis AlleyCats,Madison Radicals,Michael,Ames,Michael Ames,Ames
4/2/17,Indianapolis AlleyCats,Madison Radicals,Cameron,Brock,Cameron Brock,Cam
4/2/17,Indianapolis AlleyCats,Madison Radicals,Joey,Cari,Joey Cari,Joey
4/2/17,Indianapolis AlleyCats,Madison Radicals,Travis,Carpenter,Travis Carpenter,Travis
4/2/17,Indianapolis AlleyCats,Madison Radicals,Kyle,Cox,Kyle Cox,Cox
4/2/17,Indianapolis AlleyCats,Madison Radicals,Dana,Granholm,Dana Granholm,Dana
4/2/17,Indianapolis AlleyCats,Madison Radicals,Rick,Gross,Rick Gross,Rick
4/2/17,Indianapolis AlleyCats,Madison Radicals,Nick,Hutton,Nick Hutton,Nick
4/2/17,Indianapolis AlleyCats,Madison Radicals,Levi,Jacobs,Levi Jacobs,Levi
4/2/17,Indianapolis AlleyCats,Madison Radicals,Ryan,Jarvis,Ryan Jarvis,Jarvis
4/2/17,Indianapolis AlleyCats,Madison Radicals,John,Jones,John Jones,John J
4/2/17,Indianapolis AlleyCats,Madison Radicals,Heath,Kalaba,Heath Kalaba,Heath
4/2/17,Indianapolis AlleyCats,Madison Radicals,Wally,Kasprzycki,Wally Kasprzycki,Wally
4/2/17,Indianapolis AlleyCats,Madison Radicals,Spencer,Loscar,Spencer Loscar,Spencer
4/2/17,Indianapolis AlleyCats,Madison Radicals,Keenan,Plew,Keenan Plew,Keenan
4/2/17,Indianapolis AlleyCats,Madison Radicals,Colin,Ringwood,Colin Ringwood,Colin
4/2/17,Indianapolis AlleyCats,Madison Radicals,Aaron,Schwartz,Aaron Schwartz,Danger
4/2/17,Indianapolis AlleyCats,Madison Radicals,Sam,Sohn,Sam Sohn,Sam
4/2/17,Indianapolis AlleyCats,Madison Radicals,Jon,Wenger,Jon Wenger,Wenger
4/2/17,Indianapolis AlleyCats,Madison Radicals,Zach,Zebarth,Zach Zebarth,Zach
4/2/17,Madison Radicals,Indianapolis AlleyCats,Andrew,Brown,Andrew Brown,A Brown
4/2/17,Madison Radicals,Indianapolis AlleyCats,Colin,Camp,Colin Camp,Camp
4/2/17,Madison Radicals,Indianapolis AlleyCats,Thomas,Coolidge,Thomas Coolidge,Coolidge
4/2/17,Madison Radicals,Indianapolis AlleyCats,Bill,Everhart,Bill Everhart,Everhart
4/2/17,Madison Radicals,Indianapolis AlleyCats,Benjy,Keren,Benjy Keren,Keren
4/2/17,Madison Radicals,Indianapolis AlleyCats,Sterling,Knoche,Sterling Knoche,Knoche
4/2/17,Madison Radicals,Indianapolis AlleyCats,Victor,Luo,Victor Luo,Luo
4/2/17,Madison Radicals,Indianapolis AlleyCats,Chase,Marty,Chase Marty,Marty
4/2/17,Madison Radicals,Indianapolis AlleyCats,Marquis,Mason,Marquis Mason,Mason
4/2/17,Madison Radicals,Indianapolis AlleyCats,David,Meinecke,David Meinecke,Buddy
4/2/17,Madison Radicals,Indianapolis AlleyCats,Andrew,Meshnick,Andrew Meshnick,Meshnick
4/2/17,Madison Radicals,Indianapolis AlleyCats,Kevin,Pettit-Scantling,Kevin Pettit-Scantling,KPS
4/2/17,Madison Radicals,Indianapolis AlleyCats,Logan,Pruess,Logan Pruess,Pruess
