,Year,Teamname,Username,PlayerName
229,2019,New York Gridlock,W Gao,Wei Gao
292,2019,Raleigh Radiance,WeiJenny,Jenny Wei
293,2019,Raleigh Radiance,WhaleSim,Simone Whale
294,2019,Raleigh Radiance,WidmayeB,Becky Widmayer
171,2019,Medellin Revolution,X Montan,Ximena Montana
172,2019,Medellin Revolution,Y Carteg,Yina Cartegena
173,2019,Medellin Revolution,Yoan,Yoan
52,2019,Atlanta Soul,Yost,Katherine Yost
124,2019,Columbus Pride,Z Hecht,Zoe Hecht
0,2019,Atlanta Soul,,Anonymous
53,2019,Austin Torch,,Anonymous
81,2019,Columbus Pride,,Anonymous
125,2019,Indy Red,,Anonymous
151,2019,Medellin Revolution,,Anonymous
174,2019,Nashville Nightshade,,Anonymous
203,2019,New York Gridlock,,Anonymous
230,2019,Raleigh Radiance,,Anonymous
