id,Teamname,Tournament,Username,PlayerName
344,Chicago Wildfire,AUDL 2016,Fergus,Tim Fergus
345,Chicago Wildfire,AUDL 2016,Furse,Charlie Furse
346,Chicago Wildfire,AUDL 2017,Gallaghe,Tommy Gallagher
347,Chicago Wildfire,AUDL 2014,Gary L,Gary LeDonne
348,Chicago Wildfire,AUDL 2016,Geoff,Geoff Serednesky
349,Chicago Wildfire,AUDL 2014,Geoff S,Geoff Serednesky
350,Chicago Wildfire,AUDL 2014,George H,George Hughes-Strange
351,Chicago Wildfire,AUDL 2018,Goff,Nate Goff
352,Chicago Wildfire,AUDL 2015,Goose,Goose Helton
353,Chicago Wildfire,AUDL 2014,Goose H,Goose Helton
354,Chicago Wildfire,AUDL 2018,Grant,Grant Zukowski
355,Chicago Wildfire,AUDL 2014,Greg S,Gregory Slover
356,Chicago Wildfire,AUDL 2016,Hidaka,Brett Hidaka
357,Chicago Wildfire,AUDL 2015,J Silver,Jeffrey Silverman
358,Chicago Wildfire,AUDL 2016,J-Rob,Jeffrey Robinson
359,Chicago Wildfire,AUDL 2015,JRob,Jeffrey Robinson
360,Chicago Wildfire,AUDL 2015,JSS,Josh Stevens-Stein
361,Chicago Wildfire,AUDL 2015,Jack,Jack Shey
362,Chicago Wildfire,AUDL 2018,Jack,Jack Shey
363,Chicago Wildfire,AUDL 2014,James R,James Roush
364,Chicago Wildfire,AUDL 2017,Janas,Pawel Janas
365,Chicago Wildfire,AUDL 2018,Jason,Jason Vallee
366,Chicago Wildfire,AUDL 2018,Jeff,Jeff Zhao
367,Chicago Wildfire,AUDL 2018,Jeremy,Jeremy Burril
368,Chicago Wildfire,AUDL 2015,Jimmy,Jimmy Robin
369,Chicago Wildfire,AUDL 2018,Jimmy,James Sykora
370,Chicago Wildfire,AUDL 2014,John K,John Kolb
371,Chicago Wildfire,AUDL 2016,Johnson,Eric Johnson
372,Chicago Wildfire,AUDL 2017,Johnson,Eric Johnson
373,Chicago Wildfire,AUDL 2018,Judah,Judah Newman
374,Chicago Wildfire,AUDL 2018,Karl,Karl Kingma
375,Chicago Wildfire,AUDL 2015,Kaufmann,Patrick Kaufmann
376,Chicago Wildfire,AUDL 2016,Kaufmann,Patrick Kaufmann
377,Chicago Wildfire,AUDL 2015,Kennedy,
378,Chicago Wildfire,AUDL 2014,Kevin K,Kevin Kelly
379,Chicago Wildfire,AUDL 2017,Kingma,Karl Kingma
380,Chicago Wildfire,AUDL 2017,Kluender,Bill Kluender
381,Chicago Wildfire,AUDL 2017,Kuhl,Trent Kuhl
382,Chicago Wildfire,AUDL 2018,Kurt,Kurt Gibson
383,Chicago Wildfire,AUDL 2017,Levorsen,Drew Levorsen
384,Chicago Wildfire,AUDL 2018,Mater,Matt LeMaitre
385,Chicago Wildfire,AUDL 2015,MattSteg,Matt Stegemann
386,Chicago Wildfire,AUDL 2015,Matzuka,Brett Matzuka
387,Chicago Wildfire,AUDL 2015,Max,Max Shepard
388,Chicago Wildfire,AUDL 2018,Max,Max Trotter
389,Chicago Wildfire,AUDL 2016,Miller,Dan Miller
390,Chicago Wildfire,AUDL 2017,Miller,Dan Miller
391,Chicago Wildfire,AUDL 2018,Neal,Neal Phelps
392,Chicago Wildfire,AUDL 2014,Neal P,Neal Phelps
393,Chicago Wildfire,AUDL 2015,Neil,AJ Nelson
394,Chicago Wildfire,AUDL 2017,Newman,Judah Newman
395,Chicago Wildfire,AUDL 2018,Nick,
396,Chicago Wildfire,AUDL 2018,Nicky,Nicky Golini
397,Chicago Wildfire,AUDL 2017,O'Brien,CJ O'Brien
398,Chicago Wildfire,AUDL 2016,Pardo,Michael Pardo
399,Chicago Wildfire,AUDL 2017,Pardo,Michael Pardo
400,Chicago Wildfire,AUDL 2018,Pardo,Michael Pardo
401,Chicago Wildfire,AUDL 2018,Pawel,Pawel Janas
402,Chicago Wildfire,AUDL 2016,Phelps,Neal Phelps
403,Chicago Wildfire,AUDL 2017,Phelps,Neal Phelps
404,Chicago Wildfire,AUDL 2015,Rathunde,Brian Rathunde
405,Chicago Wildfire,AUDL 2016,Rathunde,Brian Rathunde
406,Chicago Wildfire,AUDL 2017,Rathunde,Brian Rathunde
407,Chicago Wildfire,AUDL 2014,Rehmann,Ben Rehmann
408,Chicago Wildfire,AUDL 2014,Rob G,Rob Greenberg
409,Chicago Wildfire,AUDL 2014,Rob S,Rob S
410,Chicago Wildfire,AUDL 2017,Robin,Jimmy Robin
411,Chicago Wildfire,AUDL 2018,Roddy,Rodrigo Arcibar
412,Chicago Wildfire,AUDL 2014,Ron K,Ron Kubalanza
413,Chicago Wildfire,AUDL 2015,Rory,Rory Gallagher
414,Chicago Wildfire,AUDL 2018,Ross,Ross Barker
415,Chicago Wildfire,AUDL 2015,Roush,James Roush
416,Chicago Wildfire,AUDL 2017,Rummel,Alex Rummelhart
417,Chicago Wildfire,AUDL 2014,Sheehan,Andrew Sheehan
418,Chicago Wildfire,AUDL 2015,Sheehan,Andrew Sheehan
419,Chicago Wildfire,AUDL 2016,Sheehan,Andrew Sheehan
420,Chicago Wildfire,AUDL 2016,Shey,Jack Shey
421,Chicago Wildfire,AUDL 2017,Shey,Jack Shey
422,Chicago Wildfire,AUDL 2015,Shiel,Michael Shiel
423,Chicago Wildfire,AUDL 2016,Shiel,Michael Shiel
424,Chicago Wildfire,AUDL 2015,Silver,Jeffrey Silverman
425,Chicago Wildfire,AUDL 2018,Simon,Simon Johansen
426,Chicago Wildfire,AUDL 2016,Simpson,Christian Simpson
427,Chicago Wildfire,AUDL 2015,Slymer,Michael Egan
428,Chicago Wildfire,AUDL 2018,Slymer,Michael Egan
429,Chicago Wildfire,AUDL 2014,Slymer E,Michael Egan
