,Teamname,Name,FirstName,LastName
251,Madison Radicals,David Nester,David,Nester
252,Madison Radicals,Logan Pruess,Logan,Pruess
253,Madison Radicals,Chris Wilen,Chris,Wilen
254,Madison Radicals,Nate Bosscher,Nate,Bosscher
255,Madison Radicals,Sterling Knoche,Sterling,Knoche
256,Madison Radicals,Glenn Poole,Glenn,Poole
257,Madison Radicals,Dave Wiseman,Dave,Wiseman
258,Madison Radicals,Rami Paust,Rami,Paust
259,Madison Radicals,Kyle Weigand,Kyle,Weigand
260,Madison Radicals,Ryan Tucker,Ryan,Tucker
261,Madison Radicals,Peter Graffy,Peter,Graffy
262,Madison Radicals,Colin Camp,Colin,Camp
263,Madison Radicals,Jeff Maskalunas,Jeff,Maskalunas
264,Madison Radicals,Chase Marty,Chase,Marty
265,Madison Radicals,Mike Kobyra,Mike,Kobyra
266,Madison Radicals,Thomas Coolidge,Thomas,Coolidge
267,Madison Radicals,Tarik Akyuz,Tarik,Akyuz
268,Madison Radicals,Ben Nelson,Ben,Nelson
269,Madison Radicals,Dylan Power,Dylan,Power
270,Madison Radicals,Luke Marks,Luke,Marks
271,Madison Radicals,Colin Grandon,Colin,Grandon
272,Madison Radicals,Jack Kelly,Jack,Kelly
273,Madison Radicals,Kevin Pettit-Scantling,Kevin,Pettit-Scantling
274,Madison Radicals,Dan Vockeroth,Dan,Vockeroth
275,Madison Radicals,Kyle Dreger,Kyle,Dreger
276,Madison Radicals,Kevin Brown,Kevin,Brown
277,Minnesota Wind Chill,Zac Merie,Zac,Merie
278,Minnesota Wind Chill,Alex Jirele,Alex,Jirele
279,Minnesota Wind Chill,Bryan Vohnoutka,Bryan,Vohnoutka
280,Minnesota Wind Chill,Jesse Greenberg,Jesse,Greenberg
281,Minnesota Wind Chill,Mathew Ladyman,Mathew,Ladyman
282,Minnesota Wind Chill,Cole Jurek,Cole,Jurek
283,Minnesota Wind Chill,Tony Poletto,Tony,Poletto
284,Minnesota Wind Chill,Jordan Taylor,Jordan,Taylor
285,Minnesota Wind Chill,Grayson Pangburn,Grayson,Pangburn
286,Minnesota Wind Chill,Brendan McCann,Brendan,McCann
287,Minnesota Wind Chill,Mitchell McCarthy,Mitchell,McCarthy
288,Minnesota Wind Chill,Kristian Johnson,Kristian,Johnson
289,Minnesota Wind Chill,Ethan Rasmussen,Ethan,Rasmussen
290,Minnesota Wind Chill,Ben Pavelka,Ben,Pavelka
291,Minnesota Wind Chill,Cam Burden,Cam,Burden
292,Minnesota Wind Chill,Michael Jordan,Michael,Jordan
293,Minnesota Wind Chill,Ryan Welch,Ryan,Welch
294,Minnesota Wind Chill,Daniel Bates,Daniel,Bates
295,Minnesota Wind Chill,Josh Klane,Josh,Klane
296,Minnesota Wind Chill,Saurav Dubey,Saurav,Dubey
297,Minnesota Wind Chill,Jimmy Kittlesen,Jimmy,Kittlesen
298,Minnesota Wind Chill,Alan Scarth,Alan,Scarth
299,Minnesota Wind Chill,Dylan DeClerck,Dylan,DeClerck
300,Minnesota Wind Chill,Brandon Matis,Brandon,Matis
301,Minnesota Wind Chill,Jason Tschida,Jason,Tschida
302,Minnesota Wind Chill,Drew Otterlei,Drew,Otterlei
303,Minnesota Wind Chill,Tate Halberg,Tate,Halberg
304,Minnesota Wind Chill,Isaac Leonard,Isaac,Leonard
305,Minnesota Wind Chill,Pat Cashman,Pat,Cashman
306,Minnesota Wind Chill,Quinn Snider,Quinn,Snider
307,Montreal Royal,Vincent Gamache,Vincent,Gamache
308,Montreal Royal,Philippe Bisson,Philippe,Bisson
309,Montreal Royal,Vincent Lemieux,Vincent,Lemieux
310,Montreal Royal,Steve Bonneau,Steve,Bonneau
311,Montreal Royal,Nabil Chaouch,Nabil,Chaouch
312,Montreal Royal,Jacob Saunders,Jacob,Saunders
313,Montreal Royal,Andre Arsenault,Andre,Arsenault
314,Montreal Royal,Jordan Faries,Jordan,Faries
315,Montreal Royal,Gabriel Monfette,Gabriel,Monfette
316,Montreal Royal,Christophe Tremblay-Joncas,Christophe,Tremblay-Joncas
317,Montreal Royal,Mathieu Bosser,Mathieu,Bosser
318,Montreal Royal,Quentin Roger,Quentin,Roger
319,Montreal Royal,Miguel Goderre,Miguel,Goderre
320,Montreal Royal,Sacha Poitte-Sokolsky,Sacha,Poitte-Sokolsky
321,Montreal Royal,Eliott Heloir,Eliott,Heloir
322,Montreal Royal,Brian Howard,Brian,Howard
