,Teamname,Name,FirstName,LastName
212,Indianapolis AlleyCats,Christopher Miller,Christopher,Miller
213,Indianapolis AlleyCats,Donovan Triplett,Donovan,Triplett
214,Indianapolis AlleyCats,Brett Matzuka,Brett,Matzuka
215,Indianapolis AlleyCats,Jacob Fella,Jacob,Fella
216,Indianapolis AlleyCats,John Jones,John,Jones
217,Indianapolis AlleyCats,Dustin Hughes,Dustin,Hughes
218,Los Angeles Aviators,Xavier Charles,Xavier,Charles
219,Los Angeles Aviators,Michael Kiyoi,Michael,Kiyoi
220,Los Angeles Aviators,Evan Valdes,Evan,Valdes
221,Los Angeles Aviators,Ryan Lepore,Ryan,Lepore
222,Los Angeles Aviators,Andrew Padula,Andrew,Padula
223,Los Angeles Aviators,Danny Landesman,Danny,Landesman
224,Los Angeles Aviators,Sean McDougall,Sean,McDougall
225,Los Angeles Aviators,Alex Drum,Alex,Drum
226,Los Angeles Aviators,Mitchell Steiner,Mitchell,Steiner
227,Los Angeles Aviators,Kyle Conniff,Kyle,Conniff
228,Los Angeles Aviators,Zach Theodore,Zach,Theodore
229,Los Angeles Aviators,KJ Koo,KJ,Koo
230,Los Angeles Aviators,Aaron Weaver,Aaron,Weaver
231,Los Angeles Aviators,Jeffrey Silverman,Jeffrey,Silverman
232,Los Angeles Aviators,Ryan Smith,Ryan,Smith
233,Los Angeles Aviators,Ian Ladner,Ian,Ladner
234,Los Angeles Aviators,Zac Schakner,Zac,Schakner
235,Los Angeles Aviators,Matt Theologidy,Matt,Theologidy
236,Los Angeles Aviators,Timothy Beatty,Timothy,Beatty
237,Los Angeles Aviators,Nate Ransom,Nate,Ransom
238,Los Angeles Aviators,Sam Plasman,Sam,Plasman
239,Los Angeles Aviators,Collin Gall,Collin,Gall
240,Los Angeles Aviators,Nate Kirchhofer,Nate,Kirchhofer
241,Los Angeles Aviators,Jake Baumer,Jake,Baumer
242,Los Angeles Aviators,Eric Lissner,Eric,Lissner
243,Los Angeles Aviators,Wayne Lu,Wayne,Lu
244,Los Angeles Aviators,Tyler Bacon,Tyler,Bacon
245,Los Angeles Aviators,Joc Jimenez,Joc,Jimenez
246,Los Angeles Aviators,Garrett Santi,Garrett,Santi
247,Los Angeles Aviators,Calvin Brown,Calvin,Brown
248,Madison Radicals,Adam Drews,Adam,Drews
249,Madison Radicals,Andrew Meshnick,Andrew,Meshnick
250,Madison Radicals,Seth Meyer,Seth,Meyer
251,Madison Radicals,Pat Shriwise,Pat,Shriwise
252,Madison Radicals,Sean Treacy,Sean,Treacy
253,Madison Radicals,Avery Johnson,Avery,Johnson
