,Actives,Team,Week,Year
57,"Daniel Bates; Cameron Burden; Saurav Dubey; Jesse Greenberg; Scott Hearne; Michael Jordan; James Kittlesen; Josh Klane; Mathew Ladyman; Isaac Leonard; Brandon Matis; Brendan McCann; Mitchell McCarthy; Drew Otterlei; Grayson Pangburn; Josh Poterack; Alan Scarth; Jordan Taylor; Bryan Vohnoutka; Ryan Welch; Inactive: Ethan Rasmussen, Tate Halberg",Minnesota Wind Chill,5,2019
58,André Arsenault; Malik Auger-Semmar; Quentin Bonnaud; Stève Bonneau; Mathieu Bosser; Jakob Brissette; Estéban Ceballos; Nabil Chaouch; Simon Charette; Laurent Faye; Vincent Gamache; Miguel Goderre; Kevin Groulx; Vincent Lemieux; Gabriel Monfette; Sacha Poitte- Sokolsky ; Kevin Quinlan; Quentin Roger; Jacob Saunders; Christophe Tremblay Joncas,Montreal Royal,5,2019
59,Derek Alexander; Geoff Bevan; Nick Boucher; David Colic; Greg Ellis; Colin Froats; Jeremy Hill; Jeff Lindquist; Karl Loiseau; Chad McCausland; Paul Mensah; Adam O'Donnell; Andrew Ouchterlony; Erich Phang-Lyn; Paul Renaud; Braedan Robinson; Shintaro Tsukamoto; Carson Turner; Simon Walker; Ryan Wallace,Ottawa Outlaws,5,2019
60,"Shashank Alladi; Mike Arcata; Peter Burt; Dustin Damiano; Matt Esser; Ethan Fortin; Stuart Hean; Evan Karson; Austin Lillis; Greg Martin; Himalaya Mehta; Sean Mott; Eric Nardelli; Nick Patel; Ethan Peck; James Pollard; Zac Sands; Marc Sands; Billy Sickles; Scott Xu; Inactive: Matt Ballman, Brice Dunn",Philadelphia Phoenix,5,2019
61,Dylan Best; Adam Burgess; John Buss; Thomas Edmonds; Mark Fedorenko; Nick Gigliotti; Chris Graber; Robert Halvorsen; Jack Hefferon; Jon Mast; Pat McMullen; Dayne Meyer; Steve Mogielski; Anson Reppermund; Jordan Robarge; Max Sheppard; Alex Thomas; Jimmy Towle; Sam VanDusen; Owen Watt; Inactive: David Vatz,Pittsburgh Thunderbirds,5,2019
62,"Justin Allen; Kiron Allen; Chuck Cantone; Joey Cretella; Jacob Fairfax; Henry Fisher; Josh Hartzog; JD Hastings; Allan Laviolette; Johnnie Lynch; Tim McAllister; Terrence Mitchell; Charlie Muniz ; Jonathan Nethercutt; Jeff Nordgren; Jordan Perry; Vikram Sethuraman; Shane Sisco; Eric Taylor; Sol Yanuck; Inactive: Mischa Freystaetter, Jakeem Polk",Raleigh Flyers,5,2019
63,"Jesse Cohen; Travis Dunn; Sam Fontaine; Wesley Groth; Jake Gutkowski; Sean Ham; Jonathan Helton; Maxwell Hume; Joshua Kohl; Mark (Dom) Leggio; Steven Milardovich; Tim Okita; Marcel Osborne; Trevor Purdy; Scott Radlauer; Ryo Senda; Reggie Sung; William Turner; Inactive: Mark Slader, Nathan Bridges",San Diego Growlers,5,2019
64,Mike Becich; Chuck  Cao; Steven Chang; Matt Crawford; Antoine Davis; Shane Earley; Ethan Falat; Brandon Fein; Lior Givol; Keenan Laurence; Justin Norden; Alex Pan; Mark Philipson; Marcelo Sanchez; Aaron  Shi; Jackson Stearns; Skylohr Taylor; Gabe Taylor; Kevin Tien; Berreman Wyatt; Inactive: Jacob Greenberg,San Jose Spiders,5,2019
65,Jay Boychuk; Mark Burton; Dennis Casio; Zhi Chen; Will Coffin; Charlie Eide; Khalif El-Salaam; Kahyee Fong; Bryson Fox; Peter Geertz-Larson; Brad Houser; Thomas Lassetter; Nick Mahan; Charlie Mercer; Marc Munoz; Henry Phan; John Quandt; June Rapisura; Zach Sabin; Shane Worthington; Inactive: Ryan Segal,Seattle Cascades,5,2019
66,Connor Armstrong; Andrew Carroll; Cameron Harris; Jacky Hau; Nathan Hirst; Jason Huynh; Kevin Jay; Iain Mackenzie; Mike Mackenzie; Isaiah Masek-Kelly; Thomson McKnight; Jerry Meron; Akifumi Muraoka; Jeremy Norden; Geoff Powell; Ben Pries; Bretton Tan; Phil Turner; Bryan Yue; Marijo Zlatic; Inactive: Remi Ojo,Toronto Rush,5,2019
