,Away Team,Away Team Score,Date Location,Home Team,Home Team Score,Matchup Link,Year,Date,Time,City,Week,UniversalGameID
36,Ottawa Outlaws,16,"Sun, 5/5 2:00 PM EDT Philadelphia",Philadelphia Phoenix,21,/league/game/2019-05-05-OTT-PHI,2019,2019-05-05,2:00 PM EDT,Philadelphia,5,36
37,Dallas Roughnecks,25,"Sat, 5/11 7:00 PM CDT Austin",Austin Sol,21,/league/game/2019-05-11-DAL-AUS,2019,2019-05-11,7:00 PM CDT,Austin,6,44
38,Atlanta Hustle,27,"Sat, 5/11 7:00 PM EDT Indianapolis",Indianapolis AlleyCats,22,/league/game/2019-05-11-ATL-IND,2019,2019-05-11,7:00 PM EDT,Indianapolis,6,43
39,Seattle Cascades,19,"Sat, 5/11 7:00 PM PDT San Jose",San Jose Spiders,24,/league/game/2019-05-11-SEA-SJ,2019,2019-05-11,7:00 PM PDT,San Jose,6,42
40,Minnesota Wind Chill,20,"Sat, 5/11 6:00 PM CDT Madison",Madison Radicals,19,/league/game/2019-05-11-MIN-MAD,2019,2019-05-11,6:00 PM CDT,Madison,6,41
41,Raleigh Flyers,24,"Sat, 5/11 7:05 PM EDT Tampa Bay",Tampa Bay Cannons,19,/league/game/2019-05-11-RAL-TB,2019,2019-05-11,7:05 PM EDT,Tampa Bay,6,45
42,DC Breeze,25,"Sat, 5/11 6:00 PM EDT New York",New York Empire,26,/league/game/2019-05-11-DC-NY,2019,2019-05-11,6:00 PM EDT,New York,6,39
43,San Diego Growlers,27,"Sat, 5/11 5:30 PM PDT LA",Los Angeles Aviators,21,/league/game/2019-05-11-SD-LA,2019,2019-05-11,5:30 PM PDT,LA,6,38
44,Ottawa Outlaws,24,"Sat, 5/11 4:00 PM EDT Toronto",Toronto Rush,25,/league/game/2019-05-11-OTT-TOR,2019,2019-05-11,4:00 PM EDT,Toronto,6,37
45,Chicago Wildfire,18,"Sat, 5/11 6:00 PM EDT Pittsburgh",Pittsburgh Thunderbirds,21,/league/game/2019-05-11-CHI-PIT,2019,2019-05-11,6:00 PM EDT,Pittsburgh,6,40
46,San Jose Spiders,20,"Fri, 5/17 6:45 PM PDT San Diego",San Diego Growlers,32,/league/game/2019-05-17-SJ-SD,2019,2019-05-17,6:45 PM PDT,San Diego,7,46
47,Toronto Rush,17,"Sat, 5/18 7:00 PM EDT New York",New York Empire,22,/league/game/2019-05-18-TOR-NY,2019,2019-05-18,7:00 PM EDT,New York,7,54
48,DC Breeze,21,"Sat, 5/18 7:00 PM EDT Ottawa",Ottawa Outlaws,22,/league/game/2019-05-18-DC-OTT,2019,2019-05-18,7:00 PM EDT,Ottawa,7,53
49,Atlanta Hustle,22,"Sat, 5/18 7:00 PM EDT Raleigh",Raleigh Flyers,25,/league/game/2019-05-18-ATL-RAL,2019,2019-05-18,7:00 PM EDT,Raleigh,7,52
50,Tampa Bay Cannons,19,"Sat, 5/18 7:00 PM CDT Austin",Austin Sol,17,/league/game/2019-05-18-TB-AUS,2019,2019-05-18,7:00 PM CDT,Austin,7,51
51,Detroit Mechanix,11,"Sat, 5/18 6:00 PM EDT Pittsburgh",Pittsburgh Thunderbirds,24,/league/game/2019-05-18-DET-PIT,2019,2019-05-18,6:00 PM EDT,Pittsburgh,7,49
52,Madison Radicals,25,"Sat, 5/18 6:00 PM CDT Chicago",Chicago Wildfire,22,/league/game/2019-05-18-MAD-CHI,2019,2019-05-18,6:00 PM CDT,Chicago,7,48
53,San Jose Spiders,21,"Sat, 5/18 5:30 PM PDT LA",Los Angeles Aviators,25,/league/game/2019-05-18-SJ-LA,2019,2019-05-18,5:30 PM PDT,LA,7,47
54,Indianapolis AlleyCats,13,"Sat, 5/18 6:00 PM CDT Minnesota",Minnesota Wind Chill,11,/league/game/2019-05-18-IND-MIN,2019,2019-05-18,6:00 PM CDT,Minnesota,7,50
55,DC Breeze,20,"Sun, 5/19 1:00 PM EDT Montreal",Montreal Royal,19,/league/game/2019-05-19-DC-MTL,2019,2019-05-19,1:00 PM EDT,Montreal,7,55
56,Tampa Bay Cannons,21,"Sun, 5/19 1:00 PM CDT Dallas",Dallas Roughnecks,28,/league/game/2019-05-19-TB-DAL,2019,2019-05-19,1:00 PM CDT,Dallas,7,56
57,Toronto Rush,16,"Sun, 5/19 2:00 PM EDT Philadelphia",Philadelphia Phoenix,18,/league/game/2019-05-19-TOR-PHI,2019,2019-05-19,2:00 PM EDT,Philadelphia,7,57
58,Tampa Bay Cannons,14,"Sat, 5/25 7:00 PM EDT Atlanta",Atlanta Hustle,23,/league/game/2019-05-25-TB-ATL,2019,2019-05-25,7:00 PM EDT,Atlanta,8,63
59,Austin Sol,15,"Sat, 5/25 7:00 PM CDT Dallas",Dallas Roughnecks,20,/league/game/2019-05-25-AUS-DAL,2019,2019-05-25,7:00 PM CDT,Dallas,8,64
60,Indianapolis AlleyCats,17,"Sat, 5/25 6:00 PM CDT Chicago",Chicago Wildfire,18,/league/game/2019-05-25-IND-CHI,2019,2019-05-25,6:00 PM CDT,Chicago,8,61
