,Teamname,Name,FirstName,LastName
344,Minnesota Wind Chill,Isaac Leonard,Isaac,Leonard
345,Minnesota Wind Chill,Pat Cashman,Pat,Cashman
346,Minnesota Wind Chill,Quinn Snider,Quinn,Snider
347,Montreal Royal,Vincent Gamache,Vincent,Gamache
348,Montreal Royal,Philippe Bisson,Philippe,Bisson
349,Montreal Royal,Vincent Lemieux,Vincent,Lemieux
350,Montreal Royal,Steve Bonneau,Steve,Bonneau
351,Montreal Royal,Nabil Chaouch,Nabil,Chaouch
352,Montreal Royal,Jacob Saunders,Jacob,Saunders
353,Montreal Royal,Andre Arsenault,Andre,Arsenault
354,Montreal Royal,Jordan Faries,Jordan,Faries
355,Montreal Royal,Gabriel Monfette,Gabriel,Monfette
356,Montreal Royal,Christophe Tremblay-Joncas,Christophe,Tremblay-Joncas
357,Montreal Royal,Mathieu Bosser,Mathieu,Bosser
358,Montreal Royal,Quentin Roger,Quentin,Roger
359,Montreal Royal,Miguel Goderre,Miguel,Goderre
360,Montreal Royal,Sacha Poitte-Sokolsky,Sacha,Poitte-Sokolsky
361,Montreal Royal,Eliott Heloir,Eliott,Heloir
362,Montreal Royal,Brian Howard,Brian,Howard
363,Montreal Royal,Henry Rodriguez,Henry,Rodriguez
364,Montreal Royal,Quentin Bonnaud,Quentin,Bonnaud
365,Montreal Royal,Mohamed Chrouh,Mohamed,Chrouh
366,Montreal Royal,Dylan Lacombe-Burgoyne,Dylan,Lacombe-Burgoyne
367,Montreal Royal,Simon Charette,Simon,Charette
368,Montreal Royal,Laurent Faye,Laurent,Faye
369,Montreal Royal,Malik Auger-Semmar,Malik,Auger-Semmar
370,Montreal Royal,Kevin Groulx,Kevin,Groulx
371,Montreal Royal,Kevin Quinlan,Kevin,Quinlan
372,Montreal Royal,Basile Limoges,Basile,Limoges
373,Montreal Royal,Jakob Brissette,Jakob,Brissette
374,Montreal Royal,Esteban Ceballos,Esteban,Ceballos
375,Montreal Royal,Zakarie Massi,Zakarie,Massi
376,New York Empire,Noriaki To,Noriaki,To
377,New York Empire,Ryan Saffa,Ryan,Saffa
378,New York Empire,Josh Alorro,Josh,Alorro
379,New York Empire,Matt Auletta,Matt,Auletta
380,New York Empire,Grant Lindsley,Grant,Lindsley
381,New York Empire,TJ Stanton,TJ,Stanton
382,New York Empire,Elliot Lee,Elliot,Lee
383,New York Empire,Conor Kline,Conor,Kline
384,New York Empire,Jack Williams,Jack,Williams
385,New York Empire,Matt LeMar,Matt,LeMar
386,New York Empire,Joe Ouellette,Joe,Ouellette
387,New York Empire,Alexander Isik,Alexander,Isik
388,New York Empire,Mike Drost,Mike,Drost
389,New York Empire,Matt Stevens,Matt,Stevens
390,New York Empire,Ryan Holmes,Ryan,Holmes
391,New York Empire,Harper Garvey,Harper,Garvey
392,New York Empire,Albert Alarcon,Albert,Alarcon
393,New York Empire,Ben Katz,Ben,Katz
394,New York Empire,Sam Feder,Sam,Feder
395,New York Empire,Zach Grappone,Zach,Grappone
396,New York Empire,Tristan Yarter,Tristan,Yarter
397,New York Empire,Beau Kittredge,Beau,Kittredge
398,New York Empire,Matt Weintraub,Matt,Weintraub
399,New York Empire,Jibran Mieser,Jibran,Mieser
400,New York Empire,Ben Jagt,Ben,Jagt
401,New York Empire,Ryan Brown,Ryan,Brown
402,New York Empire,Ryan Drost,Ryan,Drost
403,New York Empire,Marques Brownlee,Marques,Brownlee
404,New York Empire,Jeff Babbitt,Jeff,Babbitt
405,New York Empire,Kyle Dew,Kyle,Dew
406,Ottawa Outlaws,Erich Phang-Lynn,Erich,Phang-Lynn
407,Ottawa Outlaws,Paul Mensah,Paul,Mensah
408,Ottawa Outlaws,Bryce Ring,Bryce,Ring
409,Ottawa Outlaws,Karl Loiseau,Karl,Loiseau
410,Ottawa Outlaws,Simon Walker,Simon,Walker
411,Ottawa Outlaws,Derek Alexander,Derek,Alexander
412,Ottawa Outlaws,Ken Alexander,Ken,Alexander
413,Ottawa Outlaws,Matt O'Brien,Matt,O'Brien
414,Ottawa Outlaws,Shintaro Tsukamoto,Shintaro,Tsukamoto
415,Ottawa Outlaws,Ryan Wallace,Ryan,Wallace
416,Ottawa Outlaws,Chad McCausland,Chad,McCausland
417,Ottawa Outlaws,Paul Renaud,Paul,Renaud
418,Ottawa Outlaws,Colin Froats,Colin,Froats
419,Ottawa Outlaws,Alec Arsenault,Alec,Arsenault
