year,team,Assists,Hockey Assists,Throws,Throwaways,Turnovers,Completions,Catches,Goals,Drops,Blocks,Stalls,Callahans,Callahans Thrown,O Points Played,O Possessions Played,D Points Played,D Possessions Played,Holds,Breaks,Games Played,Opponent Possessions Played (O-Line),Opponent Possessions Played (D-Line),O Points Lost,D Points Lost,Points Won,Points Played,Possessions Played,Completion Rate,Throwaway Rate,Assist Rate,Goal Rate,Hold Rate,Break Rate,Scoring Efficiency,O-line Scoring Efficiency,D-line Scoring Efficiency,O-line Takeaway Efficiency,D-line Takeaway Efficiency
2015,Nashville NightWatch,285,269,4400,319,407,4006,4006,285,75,152,13,0,1,366,506,310,196,226,59,14,259,441,117,226,285,676,702,0.9104545454545454,0.0725,0.06477272727272727,0.07114328507239141,0.6174863387978142,0.19032258064516128,0.405982905982906,0.44664031620553357,0.3010204081632653,0.5482625482625483,0.48752834467120176
2015,New York Empire,352,319,4181,346,391,3805,3805,352,30,223,15,0,0,307,433,380,319,197,155,16,220,530,89,196,352,687,752,0.9100693613967951,0.0827553216933748,0.08419038507534082,0.09250985545335086,0.6416938110749185,0.40789473684210525,0.46808510638297873,0.45496535796766746,0.48589341692789967,0.5954545454545455,0.6301886792452831
2015,Ottawa Outlaws,326,278,3906,279,356,3557,3557,326,70,162,7,0,1,332,460,341,234,219,107,14,229,463,95,217,326,673,694,0.9106502816180235,0.07142857142857142,0.08346134152585766,0.09165026707899916,0.6596385542168675,0.31378299120234604,0.4697406340057637,0.47608695652173916,0.45726495726495725,0.5851528384279476,0.531317494600432
2015,Philadelphia Phoenix,257,223,3439,348,425,3014,3014,257,77,154,0,0,0,361,499,279,186,187,70,14,298,391,152,194,257,640,685,0.8764175632451294,0.10119220703692934,0.07473102646118057,0.08526874585268746,0.518005540166205,0.25089605734767023,0.37518248175182484,0.374749498997996,0.3763440860215054,0.4899328859060402,0.5038363171355499
2015,Pittsburgh Thunderbirds,455,409,4623,271,346,4282,4282,455,70,225,5,0,0,375,488,482,325,275,180,16,191,619,70,271,455,857,813,0.9262383733506381,0.05861994375946355,0.09842093878433918,0.10625875758991125,0.7333333333333333,0.37344398340248963,0.5596555965559655,0.5635245901639344,0.5538461538461539,0.6335078534031413,0.5621970920840065
2015,Raleigh Flyers,424,375,4209,297,382,3833,3833,425,79,229,6,1,0,395,533,452,290,276,148,16,242,584,100,268,424,847,823,0.9106676170111665,0.07056307911617961,0.10073651698740793,0.11087920688755544,0.6987341772151898,0.3274336283185841,0.5151883353584447,0.5178236397748592,0.5103448275862069,0.5867768595041323,0.5410958904109588
2015,Rochester Dragons,255,232,4324,351,454,3872,3872,255,101,143,2,0,0,390,529,277,182,196,59,14,316,394,172,198,255,667,711,0.8954671600370028,0.08117483811285846,0.058973172987974096,0.06585743801652892,0.5025641025641026,0.21299638989169675,0.35864978902953587,0.3705103969754253,0.3241758241758242,0.45569620253164556,0.4974619289340102
2015,San Diego Growlers,314,298,4124,231,296,3837,3837,314,56,154,9,0,0,351,449,340,184,220,94,14,213,424,108,220,314,691,633,0.9304073714839961,0.056013579049466536,0.07613967022308439,0.08183476674485275,0.6267806267806267,0.27647058823529413,0.4960505529225908,0.48997772828507796,0.5108695652173914,0.49295774647887325,0.4811320754716981
2015,San Francisco FlameThrowers,336,294,4504,307,381,4138,4138,336,59,175,15,0,0,350,479,364,255,217,119,15,242,486,110,215,336,714,734,0.9187388987566607,0.06816163410301954,0.07460035523978685,0.08119864668922185,0.62,0.3269230769230769,0.45776566757493187,0.453027139874739,0.4666666666666667,0.5454545454545454,0.5576131687242798
2015,San Jose Spiders,408,389,4696,326,375,4332,4332,408,38,184,11,0,0,401,530,435,292,278,130,17,232,592,93,280,408,836,822,0.9224872231686542,0.06942078364565588,0.0868824531516184,0.09418282548476455,0.6932668329177057,0.2988505747126437,0.49635036496350365,0.5245283018867924,0.4452054794520548,0.5991379310344828,0.527027027027027
2015,Seattle Cascades,395,254,3447,273,352,3105,3105,395,69,201,10,0,0,379,506,422,255,265,130,16,226,540,96,259,395,801,761,0.9007832898172323,0.07919930374238468,0.11459239918769945,0.12721417069243157,0.6992084432717678,0.3080568720379147,0.519053876478318,0.5237154150197628,0.5098039215686274,0.5752212389380531,0.5203703703703704
2015,Toronto Rush,455,405,4533,284,360,4173,4173,455,76,264,0,0,0,345,453,480,376,257,198,16,178,652,67,251,455,825,829,0.9205823957643945,0.06265166556364439,0.10037502757555702,0.10903426791277258,0.744927536231884,0.4125,0.548854041013269,0.5673289183222958,0.526595744680851,0.6235955056179776,0.6150306748466258
2015,Vancouver Riptide,339,324,4093,264,336,3769,3769,339,60,152,12,0,0,401,502,360,186,262,77,14,216,463,113,262,339,761,688,0.9208404593207916,0.06450036647935499,0.08282433422917175,0.08994428230299814,0.6533665835411472,0.21388888888888888,0.49273255813953487,0.5219123505976095,0.41397849462365593,0.47685185185185186,0.43412526997840173
2016,Atlanta Hustle,376,336,4523,319,376,4152,4152,379,52,193,5,3,0,412,525,408,255,270,106,16,236,546,112,274,376,820,780,0.9179747954897192,0.07052841034711475,0.08313066548750829,0.09128131021194605,0.6553398058252428,0.25980392156862747,0.48205128205128206,0.5142857142857142,0.41568627450980394,0.5254237288135593,0.4981684981684982
2016,Austin Sol,357,316,4173,345,409,3767,3767,357,61,215,3,0,2,355,500,380,276,239,118,14,245,525,94,235,357,735,776,0.9027078840162952,0.08267433501078361,0.08554996405463695,0.09477037430315902,0.6732394366197183,0.3105263157894737,0.46005154639175255,0.478,0.427536231884058,0.616326530612245,0.5523809523809524
2016,Charlotte Express,272,233,3525,312,394,3137,3137,273,76,184,6,1,1,355,501,298,179,201,71,14,277,398,127,203,272,653,680,0.8899290780141844,0.08851063829787234,0.07716312056737588,0.0870258208479439,0.5661971830985916,0.23825503355704697,0.4,0.40119760479041916,0.39664804469273746,0.5415162454873645,0.48994974874371855
2016,Chicago Wildfire,253,237,4402,328,432,3979,3979,253,95,178,9,0,0,309,468,277,225,173,80,14,272,410,104,180,253,586,693,0.9039073148568832,0.0745115856428896,0.057473875511131305,0.06358381502890173,0.5598705501618123,0.2888086642599278,0.36507936507936506,0.3696581196581197,0.35555555555555557,0.6176470588235294,0.5609756097560976
2016,Cincinnati Revolution,272,241,4073,460,506,3570,3570,273,43,179,3,1,0,395,596,297,188,223,49,14,355,429,146,229,272,692,784,0.8765038055487355,0.11293886570095753,0.06678124232752271,0.07647058823529412,0.5645569620253165,0.16498316498316498,0.3469387755102041,0.37416107382550334,0.26063829787234044,0.5887323943661972,0.4662004662004662
2016,DC Breeze,392,344,4269,303,375,3901,3901,396,65,225,7,4,0,356,485,425,291,236,156,16,236,551,93,236,392,781,776,0.913797142187866,0.07097680955727337,0.09182478332162099,0.10151243270956165,0.6629213483146067,0.36705882352941177,0.5051546391752577,0.4865979381443299,0.5360824742268041,0.6059322033898304,0.5716878402903811
2016,Dallas Roughnecks,454,393,4209,284,357,3865,3865,456,60,280,13,2,0,334,447,481,376,264,190,16,170,656,50,258,454,815,823,0.9182703730102162,0.06747445949156569,0.10786410073651699,0.11798188874514877,0.7904191616766467,0.39501039501039503,0.551640340218712,0.5906040268456376,0.5053191489361702,0.7058823529411764,0.6067073170731707
2016,Detroit Mechanix,257,225,4004,410,494,3510,3510,258,84,215,0,1,0,357,515,279,246,187,70,14,313,450,150,187,257,636,761,0.8766233766233766,0.1023976023976024,0.06418581418581419,0.0735042735042735,0.5238095238095238,0.25089605734767023,0.33771353482260186,0.36310679611650487,0.2845528455284553,0.5207667731629393,0.5844444444444444
2016,Indianapolis AlleyCats,360,312,3768,297,362,3411,3411,360,60,187,5,0,0,338,443,384,282,224,136,14,199,525,89,227,360,722,725,0.9052547770700637,0.07882165605095541,0.09554140127388536,0.10554089709762533,0.6627218934911243,0.3541666666666667,0.496551724137931,0.5056433408577878,0.48226950354609927,0.5527638190954773,0.5676190476190477
2016,Jacksonville Cannons,332,299,3823,270,336,3487,3487,332,66,157,0,0,0,371,488,357,194,251,81,14,226,459,103,249,332,728,682,0.9121109076641382,0.07062516348417473,0.08684279361757782,0.0952107829079438,0.6765498652291105,0.226890756302521,0.4868035190615836,0.514344262295082,0.4175257731958763,0.5442477876106195,0.4575163398692811
