,Away Team,Away Team Score,Date Location,Home Team,Home Team Score,Matchup Link,Year,Date,Time,City,Week,UniversalGameID
23,Columbus Cranes,21,"Sat, 5/26 7:00 PM CDT Connecticut",Connecticut Constitution,28,/league/game/2012-05-26-CLB-CON,2012,2012-05-26,7:00 PM CDT,Connecticut,7,23
24,Indianapolis AlleyCats,28,"Sat, 5/26 7:00 PM CDT Detroit",Detroit Mechanix,21,/league/game/2012-05-26-IND-DET,2012,2012-05-26,7:00 PM CDT,Detroit,7,24
25,Cincinnati Revolution,20,"Sat, 5/26 7:00 PM CDT Rhode Island",Rhode Island Rampage,21,/league/game/2012-05-26-CIN-RIR,2012,2012-05-26,7:00 PM CDT,Rhode Island,7,25
26,Columbus Cranes,20,"Sun, 5/27 7:00 PM CDT Philadelphia",Philadelphia Spinners,23,/league/game/2012-05-27-CLB-PHS,2012,2012-05-27,7:00 PM CDT,Philadelphia,7,26
27,Cincinnati Revolution,25,"Sun, 5/27 7:00 PM CDT Rochester",Rochester Dragons,24,/league/game/2012-05-27-CIN-ROC,2012,2012-05-27,7:00 PM CDT,Rochester,7,27
28,Connecticut Constitution,17,"Sat, 6/2 7:00 PM CDT Rochester",Rochester Dragons,13,/league/game/2012-06-02-CON-ROC,2012,2012-06-02,7:00 PM CDT,Rochester,8,28
29,Columbus Cranes,21,"Sat, 6/2 7:00 PM CDT Detroit",Detroit Mechanix,24,/league/game/2012-06-02-CLB-DET,2012,2012-06-02,7:00 PM CDT,Detroit,8,29
30,Cincinnati Revolution,18,"Sat, 6/2 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,20,/league/game/2012-06-02-CIN-IND,2012,2012-06-02,7:00 PM CDT,Indianapolis,8,30
31,Rochester Dragons,16,"Sat, 6/9 7:00 PM CDT Philadelphia",Philadelphia Spinners,33,/league/game/2012-06-09-ROC-PHS,2012,2012-06-09,7:00 PM CDT,Philadelphia,9,31
32,Rhode Island Rampage,18,"Sat, 6/9 7:00 PM CDT Connecticut",Connecticut Constitution,24,/league/game/2012-06-09-RIR-CON,2012,2012-06-09,7:00 PM CDT,Connecticut,9,32
33,Philadelphia Spinners,29,"Sat, 6/16 7:00 PM CDT Connecticut",Connecticut Constitution,19,/league/game/2012-06-16-PHS-CON,2012,2012-06-16,7:00 PM CDT,Connecticut,10,35
34,Indianapolis AlleyCats,26,"Sat, 6/16 7:00 PM CDT Rochester",Rochester Dragons,21,/league/game/2012-06-16-IND-ROC,2012,2012-06-16,7:00 PM CDT,Rochester,10,33
35,Cincinnati Revolution,20,"Sat, 6/16 7:00 PM CDT Columbus",Columbus Cranes,23,/league/game/2012-06-16-CIN-CLB,2012,2012-06-16,7:00 PM CDT,Columbus,10,34
36,Indianapolis AlleyCats,21,"Sun, 6/17 7:00 PM CDT Detroit",Detroit Mechanix,23,/league/game/2012-06-17-IND-DET,2012,2012-06-17,7:00 PM CDT,Detroit,10,36
37,Philadelphia Spinners,29,"Sat, 6/23 7:00 PM CDT Rochester",Rochester Dragons,18,/league/game/2012-06-23-PHS-ROC,2012,2012-06-23,7:00 PM CDT,Rochester,11,37
38,Detroit Mechanix,25,"Sat, 6/23 7:00 PM CDT Columbus",Columbus Cranes,30,/league/game/2012-06-23-DET-CLB,2012,2012-06-23,7:00 PM CDT,Columbus,11,38
39,Connecticut Constitution,12,"Sat, 6/23 7:00 PM CDT Rhode Island",Rhode Island Rampage,11,/league/game/2012-06-23-CON-RIR,2012,2012-06-23,7:00 PM CDT,Rhode Island,11,39
40,Indianapolis AlleyCats,13,"Sat, 6/23 7:00 PM CDT Cincinnati",Cincinnati Revolution,17,/league/game/2012-06-23-IND-CIN,2012,2012-06-23,7:00 PM CDT,Cincinnati,11,40
41,Columbus Cranes,20,"Sun, 6/24 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,22,/league/game/2012-06-24-CLB-IND,2012,2012-06-24,7:00 PM CDT,Indianapolis,11,42
42,Connecticut Constitution,20,"Sun, 6/24 7:00 PM CDT Philadelphia",Philadelphia Spinners,24,/league/game/2012-06-24-CON-PHS,2012,2012-06-24,7:00 PM CDT,Philadelphia,11,43
43,Detroit Mechanix,25,"Sun, 6/24 7:00 PM CDT Cincinnati",Cincinnati Revolution,27,/league/game/2012-06-24-DET-CIN,2012,2012-06-24,7:00 PM CDT,Cincinnati,11,41
44,Rochester Dragons,21,"Sat, 6/30 7:00 PM CDT Connecticut",Connecticut Constitution,19,/league/game/2012-06-30-ROC-CON,2012,2012-06-30,7:00 PM CDT,Connecticut,12,44
45,Columbus Cranes,0,"Sat, 6/30 7:00 PM CDT Cincinnati",Cincinnati Revolution,10,/league/game/2012-06-30-CLB-CIN,2012,2012-06-30,7:00 PM CDT,Cincinnati,12,45
46,Detroit Mechanix,23,"Sat, 6/30 7:00 PM CDT Philadelphia",Philadelphia Spinners,22,/league/game/2012-06-30-DET-PHS,2012,2012-06-30,7:00 PM CDT,Philadelphia,12,46
47,Rhode Island Rampage,15,"Sun, 7/1 7:00 PM CDT Rochester",Rochester Dragons,24,/league/game/2012-07-01-RIR-ROC,2012,2012-07-01,7:00 PM CDT,Rochester,12,47
48,Connecticut Constitution,0,"Sat, 7/7 7:00 PM CDT Cincinnati",Cincinnati Revolution,10,/league/game/2012-07-07-CON-CIN,2012,2012-07-07,7:00 PM CDT,Cincinnati,13,48
49,Rochester Dragons,10,"Sat, 7/7 7:00 PM CDT Columbus",Columbus Cranes,0,/league/game/2012-07-07-ROC-CLB,2012,2012-07-07,7:00 PM CDT,Columbus,13,49
50,Philadelphia Spinners,35,"Sun, 7/8 7:00 PM CDT Rochester",Rochester Dragons,13,/league/game/2012-07-08-PHS-ROC,2012,2012-07-08,7:00 PM CDT,Rochester,13,52
51,Connecticut Constitution,0,"Sun, 7/8 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,10,/league/game/2012-07-08-CON-IND,2012,2012-07-08,7:00 PM CDT,Indianapolis,13,51
52,Columbus Cranes,26,"Sun, 7/8 7:00 PM CDT Detroit",Detroit Mechanix,27,/league/game/2012-07-08-CLB-DET,2012,2012-07-08,7:00 PM CDT,Detroit,13,50
53,Detroit Mechanix,10,"Sat, 7/14 7:00 PM CDT Connecticut",Connecticut Constitution,0,/league/game/2012-07-14-DET-CON,2012,2012-07-14,7:00 PM CDT,Connecticut,14,53
54,Rochester Dragons,21,"Sat, 7/14 7:00 PM CDT Rhode Island",Rhode Island Rampage,27,/league/game/2012-07-14-ROC-RIR,2012,2012-07-14,7:00 PM CDT,Rhode Island,14,54
55,Philadelphia Spinners,19,"Sat, 7/14 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,16,/league/game/2012-07-14-PHS-IND,2012,2012-07-14,7:00 PM CDT,Indianapolis,14,55
