,Year,Week,Team,Actives
39,2019,4,Los Angeles Aviators,"Tyler Bacon; Kyle Conniff; Alex Drum; Joc Jimenez; Nate Kirchoffer; Michael Kiyoi; Danny Landesman; Crash Lepore; Wayne Lu; Sean McDougall; Andrew Padula; Sam Plasman; Nate Ransom; Garrett Santi; Zac Schakner; Jeff Silverman; Ryan Smith; Mitchell Steiner; Zach Theodore; Aaron Weaver; Inactive: Tim Beatty, Ian Ladner"
40,2019,4,Minnesota Wind Chill,"Daniel Bates; Cameron Burden; Saurav Dubey; Jesse Greenberg; Tate Halberg; Kristian Johnson**; Michael Jordan; James Kittlesen; Josh Klane; Mathew Ladyman; Isaac Leonard; Brandon Matis; Mitchell McCarthy; Drew Otterlei; Grayson Pangburn; Ethan Rasmussen; Quinn Snider; Jordan Taylor; Bryan Vohnoutka; Ryan Welch; Inactive: Brendan McCann, Alan Scarth"
41,2019,4,Montreal Royal,André Arsenault; Malik Auger-Semmar; Philippe Bisson; Quentin Bonnaud; Stève Bonneau; Mathieu Bosser; Jakob Brissette; Estéban Ceballos; Simon Charette; Laurent Faye; Vincent Gamache; Miguel Goderre; Kevin Groulx; Vincent Lemieux; Gabriel Monfette; Sacha Poitte- Sokolsky ; Kevin Quinlan; Quentin Roger; Jacob Saunders; Christophe Tremblay Joncas
42,2019,4,New York Empire,Albert Alarcon; Josue Alorro**; Matthew Auletta; Jeff Babbitt; Ryan Brown; Marques Brownlee; Mike Drost; Ryan Drost; Harper Garvey; Ben Jagt; Ben Katz; Beau Kittredge; Conor Kline; Matthew Lemar; Grant Lindsley; Jibran Mieser; TJ Stanton**; Matthew Stevens; Matthew Weintraub; Jack Williams
43,2019,4,Ottawa Outlaws,Derek Alexander; Ken Alexander**; Alec Arsenault; Geoff Bevan; Nick Boucher; Kyle Cantal; David Colic; Greg Ellis; Jon Hallett; Jeremy Hill**; Jeff Lindquist; Karl Loiseau; Paul Mensah; Matt O'Brien; Adam O'Donnell; Andrew Ouchterlony; Erich Phang-Lyn; Paul Renaud; Braedan Robinson; Carson Turner
44,2019,4,Philadelphia Phoenix,"Shashank Alladi; Mike Arcata; Matt Ballman; Peter Burt; Dustin Damiano; Patrick Diviney; Brice Dunn; Matt Esser; Ethan Fortin; Evan Karson; Colin Masino; Himalaya Mehta; Sean Mott; Eric Nardelli; Nick Patel; Ethan Peck; Zac Sands; Billy Sickles; Ryan Weaver; Scott Xu; Inactive: Dave Baer, Marc Sands, Trey Katzenbach"
45,2019,4,Pittsburgh Thunderbirds,"John Buss; Marquis Cofer; Marquis Cofer; Mark Fedorenko**; Kenny Furdella; Nick Gigliotti; Chris Graber; Robert Halvorsen; Jack Hefferon; Justin Kinkead; Jon Mast; Dayne Meyer; Steve Mogielski; Anson Reppermund; Max Sheppard; Alex Thomas; Jimmy Towle; Sam VanDusen; David Vatz; Owen Watt; Inactive: Dylan Best, Thomas Edmonds"
46,2019,4,Raleigh Flyers,"Tanner Barcus; Chuck Cantone; Andrew Cohen; Joey Cretella; Kamron Daftari; Jacob Fairfax; Henry Fisher; Sam Gabrielson; Josh Hartzog; Terrence Mitchell; Charlie Muniz ; Jeff Nordgren; Jordan Perry; Jakeem Polk; David Richardson; Grayson Sanner; Vikram Sethuraman; Shane Sisco; Eric Taylor; Sol Yanuck; Inactive: Noah Saul, Allen Laviolette"
47,2019,4,San Diego Growlers,"Hall Aidan; Ritchie David; Helton Jonathan; Rubin Kyle; Slader Mark; Leggio Mark (Dom); Hume Maxwell; Tran Michael; Dehnbostel Mike ; Bridges Nathan; Sung Reggie; Senda Ryo; Fontaine Sam; Radlauer Scott; Milardovich Steven; Okita Tim; Dunn Travis; Purdy Trevor; Groth Wesley; Turner William; Inactive: Sean Ham, Marcel Osborne"
48,2019,4,Seattle Cascades,"Jesse Bolton**; Jay Boychuk; Dennis Casio; William Coffin; Alex Duffel; Khalif El-Salaam; Bryson Fox; Xtehn Frame; Peter Geertz-Larson; Brad Houser; Wally Kasprzycki; Thomas Lassetter; Nick Mahan; Charlie Mercer; Marc Munoz; Henry Phan; June Rapisura; Ryan Segal; Kodi Smart; Shane Worthington; Inactive: Mark Burton, Zach Sabin, Steph Lim"
49,2019,4,Toronto Rush,"Connor Armstrong; Andrew Carroll; Scott Graham; Cameron Harris; Jacky Hau; Nathan Hirst; Jason Huynh; Jason Lam; Iain Mackenzie; Isaiah Masek-Kelly; Thomson McKnight; Jerry Meron**; Akifumi Muraoka; Jeremy Norden; Remi Ojo; Geoff Powell; Ben Pries**; Bretton Tan; Phil Turner; Marijo Zlatic; Inactive: Adrian Yearwood, Mike Mackenzie"
