,Year,Matchup Link,Date Location,Home Team,Away Team,Home Team Score,Away Team Score,Date,Time,City,Week,UniversalGameID
996,2018,/league/game/2018-07-07-ATL-RAL,"Sat, 7/7 7:00 PM EDT Raleigh",Raleigh Flyers,Atlanta Hustle,26,25,2018-07-07,7:00 PM EDT,Raleigh,15,994
997,2018,/league/game/2018-07-08-TB-AUS,"Sun, 7/8 1:00 PM CDT Austin",Austin Sol,Tampa Bay Cannons,6,7,2018-07-08,1:00 PM CDT,Austin,15,997
998,2018,/league/game/2018-07-08-TOR-OTT,"Sun, 7/8 2:00 PM EDT Ottawa",Ottawa Outlaws,Toronto Rush,13,26,2018-07-08,2:00 PM EDT,Ottawa,15,998
999,2018,/league/game/2018-07-13-SEA-SJ,"Fri, 7/13 7:30 PM PDT San Jose",San Jose Spiders,Seattle Cascades,27,24,2018-07-13,7:30 PM PDT,San Jose,16,999
1000,2018,/league/game/2018-07-14-NSH-TB,"Sat, 7/14 7:00 PM EDT Tampa Bay",Tampa Bay Cannons,Nashville Nightwatch,24,23,2018-07-14,7:00 PM EDT,Tampa Bay,16,1004
1001,2018,/league/game/2018-07-14-LA-SD,"Sat, 7/14 7:15 PM PDT San Diego",San Diego Growlers,Los Angeles Aviators,34,21,2018-07-14,7:15 PM PDT,San Diego,16,1006
1002,2018,/league/game/2018-07-14-NY-DC,"Sat, 7/14 6:30 PM EDT DC",DC Breeze,New York Empire,29,19,2018-07-14,6:30 PM EDT,DC,16,1003
1003,2018,/league/game/2018-07-14-MIN-IND,"Sat, 7/14 7:00 PM EDT Indianapolis",Indianapolis AlleyCats,Minnesota Wind Chill,26,16,2018-07-14,7:00 PM EDT,Indianapolis,16,1005
1004,2018,/league/game/2018-07-14-DET-PIT,"Sat, 7/14 6:00 PM EDT Pittsburgh",Pittsburgh Thunderbirds,Detroit Mechanix,32,10,2018-07-14,6:00 PM EDT,Pittsburgh,16,1001
1005,2018,/league/game/2018-07-14-CHI-MAD,"Sat, 7/14 6:00 PM CDT Madison",Madison Radicals,Chicago Wildfire,27,24,2018-07-14,6:00 PM CDT,Madison,16,1000
1006,2018,/league/game/2018-07-14-SEA-SF,"Sat, 7/14 6:30 PM PDT San Francisco",San Francisco FlameThrowers,Seattle Cascades,20,31,2018-07-14,6:30 PM PDT,San Francisco,16,1002
1007,2018,/league/game/2018-07-15-OTT-MTL,"Sun, 7/15 1:00 PM EDT Montreal",Montreal Royal,Ottawa Outlaws,25,32,2018-07-15,1:00 PM EDT,Montreal,16,1007
1008,2018,/league/game/2018-07-15-MIN-CHI,"Sun, 7/15 1:00 PM CDT Chicago",Chicago Wildfire,Minnesota Wind Chill,20,23,2018-07-15,1:00 PM CDT,Chicago,16,1008
1009,2018,/league/game/2018-07-15-NY-PHI,"Sun, 7/15 2:00 PM EDT Philadelphia",Philadelphia Phoenix,New York Empire,22,30,2018-07-15,2:00 PM EDT,Philadelphia,16,1009
1010,2018,/league/game/2018-07-15-NSH-ATL,"Sun, 7/15 5:00 PM EDT Atlanta",Atlanta Hustle,Nashville Nightwatch,30,26,2018-07-15,5:00 PM EDT,Atlanta,16,1010
1011,2018,/league/game/2018-07-21-SD-LA,"Sat, 7/21 7:00 PM PDT LA",Los Angeles Aviators,San Diego Growlers,26,22,2018-07-21,7:00 PM PDT,LA,17,1011
1012,2018,/league/game/2018-07-21-NY-DC,"Sat, 7/21 7:00 PM EDT DC",DC Breeze,New York Empire,15,19,2018-07-21,7:00 PM EDT,DC,17,1012
1013,2018,/league/game/2018-07-21-MIN-IND,"Sat, 7/21 7:00 PM EDT Indianapolis",Indianapolis AlleyCats,Minnesota Wind Chill,20,19,2018-07-21,7:00 PM EDT,Indianapolis,17,1013
1014,2018,/league/game/2018-07-27-RAL-AUS,"Fri, 7/27 7:00 PM CDT Austin",Austin Sol,Raleigh Flyers,23,26,2018-07-27,7:00 PM CDT,Austin,18,1014
1015,2018,/league/game/2018-07-28-IND-MAD,"Sat, 7/28 6:00 PM CDT Madison",Madison Radicals,Indianapolis AlleyCats,27,18,2018-07-28,6:00 PM CDT,Madison,18,1015
1016,2018,/league/game/2018-07-28-NY-TOR,"Sat, 7/28 6:30 PM EDT Toronto",Toronto Rush,New York Empire,17,18,2018-07-28,6:30 PM EDT,Toronto,18,1016
1017,2018,/league/game/2018-07-28-RAL-DAL,"Sat, 7/28 7:00 PM CDT Dallas",Dallas Roughnecks,Raleigh Flyers,20,19,2018-07-28,7:00 PM CDT,Dallas,18,1017
1018,2018,/league/game/2018-08-11-LA-MAD,"Sat, 8/11 7:00 PM CDT",Madison Radicals,Los Angeles Aviators,24,19,2018-08-11,7:00 PM CDT,,20,1019
1019,2018,/league/game/2018-08-11-NY-DAL,"Sat, 8/11 4:00 PM CDT",Dallas Roughnecks,New York Empire,32,30,2018-08-11,4:00 PM CDT,,20,1018
1020,2018,/league/game/2018-08-12-DAL-MAD,"Sun, 8/12 12:00 AM CDT",Madison Radicals,Dallas Roughnecks,20,16,2018-08-12,12:00 AM CDT,,20,1020
1021,2019,/league/game/2019-04-05-RAL-DAL,"Fri, 4/5 7:30 PM CDT Dallas",Dallas Roughnecks,Raleigh Flyers,19,17,2019-04-05,7:30 PM CDT,Dallas,1,1021
